date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2015-03-01,2015,3,21,0,1,0,17,0,11,0,17,2,3,4,0,0,2,1,3,0,0,0,74,74,82,1552,0.0135309278350515,0.0,0.0006443298969072,0.0,0.0109536082474226,0.0,0.0070876288659793,0.0,0.0109536082474226,0.0012886597938144,0.0019329896907216,0.0025773195876288,0.0,0.0,0.0012886597938144,0.0006443298969072,0.0019329896907216,0.0,0.0,0.0
2015-04-01,2015,4,19,1,0,2,11,0,9,0,11,0,5,6,0,1,0,2,0,0,1,0,60,60,68,1372,0.0138483965014577,0.0007288629737609,0.0,0.0014577259475218,0.0080174927113702,0.0,0.0065597667638483,0.0,0.0080174927113702,0.0,0.0036443148688046,0.0043731778425655,0.0,0.0007288629737609,0.0,0.0014577259475218,0.0,0.0,0.0007288629737609,0.0
2015-05-01,2015,5,16,0,1,0,19,1,8,0,12,1,6,3,1,2,0,2,1,0,0,1,69,69,74,1508,0.0106100795755968,0.0,0.0006631299734748,0.0,0.0125994694960212,0.0006631299734748,0.0053050397877984,0.0,0.0079575596816976,0.0006631299734748,0.0039787798408488,0.0019893899204244,0.0006631299734748,0.0013262599469496,0.0,0.0013262599469496,0.0006631299734748,0.0,0.0,0.0006631299734748
2015-06-01,2015,6,18,0,1,2,17,0,4,0,4,1,4,2,0,1,0,1,1,0,2,4,56,56,62,1492,0.0120643431635388,0.0,0.0006702412868632,0.0013404825737265,0.0113941018766756,0.0,0.002680965147453,0.0,0.002680965147453,0.0006702412868632,0.002680965147453,0.0013404825737265,0.0,0.0006702412868632,0.0,0.0006702412868632,0.0006702412868632,0.0,0.0013404825737265,0.002680965147453
2015-07-01,2015,7,15,0,1,0,24,1,5,1,15,0,8,6,0,2,1,3,5,0,3,1,78,78,91,1547,0.0096961861667744,0.0,0.0006464124111182,0.0,0.015513897866839,0.0006464124111182,0.0032320620555914,0.0006464124111182,0.0096961861667744,0.0,0.0051712992889463,0.0038784744667097,0.0,0.0012928248222365,0.0006464124111182,0.0019392372333548,0.0032320620555914,0.0,0.0019392372333548,0.0006464124111182
2015-08-01,2015,8,2,0,2,1,11,2,1,1,7,4,2,1,0,3,0,3,0,0,2,0,36,36,42,1666,0.0012004801920768,0.0,0.0012004801920768,0.0006002400960384,0.0066026410564225,0.0012004801920768,0.0006002400960384,0.0006002400960384,0.0042016806722689,0.0024009603841536,0.0012004801920768,0.0006002400960384,0.0,0.0018007202881152,0.0,0.0018007202881152,0.0,0.0,0.0012004801920768,0.0
2015-09-01,2015,9,11,1,5,1,21,1,5,1,8,1,1,5,1,0,0,3,3,0,1,0,62,62,69,1717,0.0064065230052417,0.0005824111822947,0.0029120559114735,0.0005824111822947,0.0122306348281887,0.0005824111822947,0.0029120559114735,0.0005824111822947,0.0046592894583576,0.0005824111822947,0.0005824111822947,0.0029120559114735,0.0005824111822947,0.0,0.0,0.0017472335468841,0.0017472335468841,0.0,0.0005824111822947,0.0
2015-10-01,2015,10,11,1,4,2,18,1,5,1,9,1,6,5,1,3,1,5,3,0,1,1,70,70,79,1899,0.0057925223802001,0.0005265929436545,0.0021063717746182,0.0010531858873091,0.0094786729857819,0.0005265929436545,0.0026329647182727,0.0005265929436545,0.0047393364928909,0.0005265929436545,0.0031595576619273,0.0026329647182727,0.0005265929436545,0.0015797788309636,0.0005265929436545,0.0026329647182727,0.0015797788309636,0.0,0.0005265929436545,0.0005265929436545
2015-11-01,2015,11,12,2,2,0,29,2,5,0,11,4,11,1,0,4,2,5,4,0,2,0,86,86,96,1949,0.0061570035915854,0.0010261672652642,0.0010261672652642,0.0,0.0148794253463314,0.0010261672652642,0.0025654181631605,0.0,0.0056439199589533,0.0020523345305284,0.0056439199589533,0.0005130836326321,0.0,0.0020523345305284,0.0010261672652642,0.0025654181631605,0.0020523345305284,0.0,0.0010261672652642,0.0
2015-12-01,2015,12,4,1,6,0,21,1,3,0,6,0,5,0,0,0,2,0,2,0,1,0,47,47,52,1788,0.0022371364653243,0.000559284116331,0.0033557046979865,0.0,0.011744966442953,0.000559284116331,0.0016778523489932,0.0,0.0033557046979865,0.0,0.0027964205816554,0.0,0.0,0.0,0.0011185682326621,0.0,0.0011185682326621,0.0,0.000559284116331,0.0
