date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2016-02-01,2016,2,34,0,6,1,17,1,24,1,22,4,4,9,1,3,0,2,3,0,1,1,120,120,134,3966,0.0085728693898134,0.0,0.0015128593040847,0.0002521432173474,0.0042864346949067,0.0002521432173474,0.0060514372163388,0.0002521432173474,0.0055471507816439,0.0010085728693898,0.0010085728693898,0.002269288956127,0.0002521432173474,0.0007564296520423,0.0,0.0005042864346949,0.0007564296520423,0.0,0.0002521432173474,0.0002521432173474
2016-03-01,2016,3,61,1,6,1,13,0,24,2,19,3,5,7,0,2,0,2,0,1,3,0,135,135,150,4670,0.0130620985010706,0.0002141327623126,0.0012847965738758,0.0002141327623126,0.0027837259100642,0.0,0.0051391862955032,0.0004282655246252,0.00406852248394,0.0006423982869379,0.0010706638115631,0.0014989293361884,0.0,0.0004282655246252,0.0,0.0004282655246252,0.0,0.0002141327623126,0.0006423982869379,0.0
2016-04-01,2016,4,621,2,4,0,9,0,19,9,161,3,14,10,0,3,3,8,2,0,1,0,825,825,869,4321,0.1437167322379079,0.0004628558204119,0.0009257116408238,0.0,0.0020828511918537,0.0,0.0043971302939134,0.0020828511918537,0.0372598935431613,0.0006942837306179,0.0032399907428835,0.0023142791020597,0.0,0.0006942837306179,0.0006942837306179,0.0018514232816477,0.0004628558204119,0.0,0.0002314279102059,0.0
2016-05-01,2016,5,291,1,5,1,10,1,12,6,105,4,9,9,0,1,5,2,0,1,0,0,429,429,463,4341,0.0670352453351762,0.0002303616678184,0.0011518083390923,0.0002303616678184,0.0023036166781847,0.0002303616678184,0.0027643400138217,0.0013821700069108,0.0241879751209398,0.0009214466712739,0.0020732550103662,0.0020732550103662,0.0,0.0002303616678184,0.0011518083390923,0.0004607233356369,0.0,0.0002303616678184,0.0,0.0
2016-06-01,2016,6,107,2,4,1,11,0,28,3,39,4,8,5,1,2,2,3,0,0,2,1,206,206,223,4232,0.0252835538752362,0.0004725897920604,0.0009451795841209,0.0002362948960302,0.0025992438563327,0.0,0.0066162570888468,0.0007088846880907,0.0092155009451795,0.0009451795841209,0.0018903591682419,0.0011814744801512,0.0002362948960302,0.0004725897920604,0.0004725897920604,0.0007088846880907,0.0,0.0,0.0004725897920604,0.0002362948960302
2016-07-01,2016,7,106,0,6,0,6,0,10,1,30,1,9,5,0,3,2,0,1,0,1,0,172,172,181,4408,0.0240471869328493,0.0,0.0013611615245009,0.0,0.0013611615245009,0.0,0.0022686025408348,0.0002268602540834,0.0068058076225045,0.0002268602540834,0.0020417422867513,0.0011343012704174,0.0,0.0006805807622504,0.0004537205081669,0.0,0.0002268602540834,0.0,0.0002268602540834,0.0
2016-08-01,2016,8,79,2,4,1,14,0,18,0,29,6,2,7,1,1,0,1,1,0,2,0,153,153,168,4055,0.019482120838471,0.0004932182490752,0.0009864364981504,0.0002466091245376,0.0034525277435265,0.0,0.0044389642416769,0.0,0.0071516646115906,0.0014796547472256,0.0004932182490752,0.0017262638717632,0.0002466091245376,0.0002466091245376,0.0,0.0002466091245376,0.0002466091245376,0.0,0.0004932182490752,0.0
2016-09-01,2016,9,73,0,3,0,8,0,26,0,20,4,6,5,0,0,1,1,0,0,2,1,135,135,150,4341,0.0168164017507486,0.0,0.0006910850034554,0.0,0.0018428933425478,0.0,0.0059894033632803,0.0,0.0046072333563695,0.0009214466712739,0.0013821700069108,0.0011518083390923,0.0,0.0,0.0002303616678184,0.0002303616678184,0.0,0.0,0.0004607233356369,0.0002303616678184
2016-10-01,2016,10,68,2,10,1,16,0,17,2,28,0,10,13,0,0,0,1,0,0,1,0,154,154,169,4852,0.0140148392415498,0.0004122011541632,0.0020610057708161,0.0002061005770816,0.0032976092333058,0.0,0.0035037098103874,0.0004122011541632,0.0057708161582852,0.0,0.0020610057708161,0.002679307502061,0.0,0.0,0.0,0.0002061005770816,0.0,0.0,0.0002061005770816,0.0
2016-11-01,2016,11,66,0,7,0,9,0,15,2,12,2,9,14,0,1,0,2,1,0,3,3,138,138,146,4682,0.0140965399401964,0.0,0.0014950875694147,0.0,0.0019222554463904,0.0,0.0032037590773173,0.0004271678769756,0.0025630072618539,0.0004271678769756,0.0019222554463904,0.0029901751388295,0.0,0.0002135839384878,0.0,0.0004271678769756,0.0002135839384878,0.0,0.0006407518154634,0.0006407518154634
2016-12-01,2016,12,134,0,1,1,13,1,21,2,37,3,6,7,4,5,5,1,0,0,5,10,239,239,256,4807,0.027876014146037,0.0,0.0002080299563137,0.0002080299563137,0.0027043894320782,0.0002080299563137,0.0043686290825878,0.0004160599126274,0.0076971083836072,0.0006240898689411,0.0012481797378822,0.0014562096941959,0.0008321198252548,0.0010401497815685,0.0010401497815685,0.0002080299563137,0.0,0.0,0.0010401497815685,0.002080299563137
