country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,diaspora_activation,diplomatic_mediation,diplomatic_recognition,diplomatic_sanction,diplomatic_statement,diplomatic_visit,economic_aid_assistance,intelligence_counterintelligence,investment,joint_security_force_exercise,media_campaign_intervention,political_process_policy_intervention,professional_cultural_exchange,security_cooperation,security_force_facility_presence,surveillance,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,diaspora_activationNorm,diplomatic_mediationNorm,diplomatic_recognitionNorm,diplomatic_sanctionNorm,diplomatic_statementNorm,diplomatic_visitNorm,economic_aid_assistanceNorm,intelligence_counterintelligenceNorm,investmentNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,political_process_policy_interventionNorm,professional_cultural_exchangeNorm,security_cooperationNorm,security_force_facility_presenceNorm,surveillanceNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Belarus,China,2015-05-01,1,0,0,0,0,0,0,13,1,0,12,2,0,0,6,0,0,0,1,0,0,0,5063,5099,1.9611688566385565e-4,0,0,0,0,0,0,0.0025495195136301238,1.9611688566385565e-4,0,0.002353402627966268,3.922337713277113e-4,0,0,0.001176701313983134,0,0,0,1.9611688566385565e-4,0,0,0
Belarus,China,2015-06-01,0,0,0,0,0,2,1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,5435,5444,0,0,0,0,0,3.673769287288758e-4,1.836884643644379e-4,1.836884643644379e-4,0,0,3.673769287288758e-4,1.836884643644379e-4,0,0,3.673769287288758e-4,0,0,0,0,0,0,0
Belarus,China,2015-07-01,0,0,0,0,0,0,0,1,0,0,2,0,0,0,9,1,1,0,0,0,0,0,5511,5525,0,0,0,0,0,0,0,1.8099547511312217e-4,0,0,3.6199095022624434e-4,0,0,0,0.0016289592760180996,1.8099547511312217e-4,1.8099547511312217e-4,0,0,0,0,0
Belarus,China,2015-08-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5088,5091,0,0,0,0,0,1.9642506383814575e-4,0,0,0,0,1.9642506383814575e-4,0,0,0,1.9642506383814575e-4,0,0,0,0,0,0,0
Belarus,China,2015-09-01,0,0,0,0,1,0,0,1,0,0,6,0,0,0,4,1,0,0,0,2,0,0,5583,5598,0,0,0,0,1.786352268667381e-4,0,0,1.786352268667381e-4,0,0,0.0010718113612004287,0,0,0,7.145409074669524e-4,1.786352268667381e-4,0,0,0,3.572704537334762e-4,0,0
Belarus,China,2015-10-01,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,0,0,0,6164,6176,0,0,0,0,0,0,0,0,0,0,1.6191709844559586e-4,0,0,3.238341968911917e-4,0.0014572538860103627,0,0,0,0,0,0,0
Belarus,China,2015-11-01,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,5350,5363,0,0,0,0,0,0,0,0,0,0,7.458512026850643e-4,0,0,0,0.0016781652060413948,0,0,0,0,0,0,0
Belarus,China,2015-12-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,1,0,0,0,5398,5411,0,0,0,0,0,0,0,0,0,0,3.6961744594344855e-4,0,0,0,0.0018480872297172426,0,0,0,1.8480872297172427e-4,0,0,0
Belarus,China,2016-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,5040,5044,0,0,0,0,0,0,0,0,0,0,1.9825535289452815e-4,0,0,0,3.965107057890563e-4,0,0,1.9825535289452815e-4,0,0,0,0
Belarus,China,2016-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,5569,5573,0,0,0,0,0,0,0,0,0,0,1.7943656917279743e-4,0,0,0,3.5887313834559486e-4,0,0,0,1.7943656917279743e-4,0,0,0
Belarus,China,2016-03-01,0,0,0,0,0,1,0,0,0,0,8,0,0,0,7,0,0,0,0,1,0,1,5963,5981,0,0,0,0,0,1.6719612104999163e-4,0,0,0,0,0.001337568968399933,0,0,0,0.0011703728473499416,0,0,0,0,1.6719612104999163e-4,0,1.6719612104999163e-4
