country,date,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm
Colombia,2016-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Colombia,2016-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2016-10-01,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2016-11-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2016-12-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Colombia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Colombia,2017-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Colombia,2017-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Colombia,2017-04-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Colombia,2017-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Colombia,2017-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Colombia,2017-07-01,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Colombia,2017-08-01,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0
Colombia,2017-09-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2017-10-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Colombia,2017-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2017-12-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2018-01-01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Colombia,2018-02-01,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Colombia,2018-03-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2018-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2018-05-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2018-06-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2018-07-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
Colombia,2018-08-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Colombia,2018-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2018-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2018-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Colombia,2018-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Colombia,2019-01-01,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Colombia,2019-02-01,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
Colombia,2019-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Colombia,2019-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
